"In","Age","Nat.","Position","Pos","Market value","Left","Left","Fee","Team","team_logo"
"Dário EssugoD. Essugo",20,NA,"Defensive Midfield","DM","€20.00m",NA,"Sporting","€22.27m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Mamadou SarrM. Sarr",19,NA,"Centre-Back","CB","€20.00m",NA,"R. Strasbourg","€14.00m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Kendry PáezK. Páez",18,NA,"Attacking Midfield","AM","€10.00m",NA,"Independiente","€10.00m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Facundo BuonanotteF. Buonanotte",20,NA,"Attacking Midfield","AM","€20.00m",NA,"Brighton","Loan fee:€2.30m","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"João FélixJ. Félix",25,NA,"Second Striker","SS","€20.00m",NA,"AC Milan","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Carney ChukwuemekaC. Chukwuemeka",21,NA,"Central Midfield","CM","€18.00m",NA,"Dortmund","End of loan06.07.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Mike PendersM. Penders",19,NA,"Goalkeeper","GK","€10.00m",NA,"Genk","End of loan01.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Kepa ArrizabalagaK. Arrizabalaga",30,NA,"Goalkeeper","GK","€10.00m",NA,"Bournemouth","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Djordje PetrovicD. Petrovic",25,NA,"Goalkeeper","GK","€20.00m",NA,"R. Strasbourg","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Marc GuiuMarc Guiu",19,NA,"Centre-Forward","CF","€8.00m",NA,"Sunderland","End of loan01.09.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
"Raheem SterlingR. Sterling",30,NA,"Right Winger","RW","€10.00m",NA,"Arsenal","End of loan30.06.2025","Chelsea","https://tmssl.akamaized.net//images/wappen/homepageSmall/631.png?lm=1682435911"
